[0.605, 0.622, 0.629, 0.621, 0.631, 0.633, 0.634, 0.634, 0.627, 0.627, 0.612, 0.076]
[3.558, 3.438, 3.315, 3.453, 3.268, 3.102, 3.162, 3.202, 3.331, 3.15, 3.265, 5.943]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[60.209, 63.65, 67.539, 63.426, 67.614, 70.531, 69.185, 68.736, 65.52, 69.26, 68.362, 24.757]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
[0.616, 0.628, 0.627, 0.629, 0.632, 0.632, 0.634, 0.63, 0.626, 0.627, 0.606, 0.078]
[3.399, 3.269, 3.41, 3.311, 3.088, 3.101, 3.099, 3.248, 3.34, 3.172, 3.317, 5.93]
[5.428, 5.337, 5.348, 5.331, 5.309, 5.311, 5.295, 5.324, 5.357, 5.345, 5.498, 8.408]
[63.201, 67.464, 64.622, 66.642, 70.681, 70.307, 70.681, 67.24, 65.295, 69.484, 66.567, 24.981]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
