[0.6, 0.624, 0.629, 0.628, 0.632, 0.624, 0.632, 0.633, 0.627, 0.628, 0.606, 0.009]
[3.671, 3.374, 3.318, 3.069, 3.263, 3.439, 3.247, 3.118, 3.34, 3.221, 3.361, 6.024]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[57.068, 64.772, 66.567, 71.503, 67.988, 63.276, 67.689, 70.157, 65.071, 67.913, 65.295, 27.3]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
[0.614, 0.629, 0.631, 0.631, 0.632, 0.634, 0.633, 0.635, 0.633, 0.628, 0.613, 0.091]
[3.505, 3.322, 3.272, 3.142, 3.089, 3.162, 3.176, 3.134, 3.197, 3.227, 3.239, 5.903]
[5.436, 5.335, 5.318, 5.316, 5.313, 5.298, 5.302, 5.288, 5.303, 5.342, 5.448, 8.347]
[61.182, 66.866, 68.586, 70.082, 70.755, 69.334, 69.334, 70.007, 68.586, 67.913, 67.464, 24.233]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
