[0.62, 0.621, 0.635, 0.637, 0.632, 0.639, 0.637, 0.64, 0.637, 0.633, 0.609, 0.108]
[3.305, 3.493, 3.21, 3.132, 3.342, 3.136, 3.233, 3.124, 3.203, 3.189, 3.231, 5.89]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[66.193, 63.575, 68.886, 70.307, 65.894, 70.082, 68.512, 70.307, 69.035, 68.586, 67.988, 23.56]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]

[0.64, 0.643, 0.639, 0.642, 0.646, 0.638, 0.637, 0.644, 0.644, 0.638, 0.628, 0.264]
[3.15, 3.115, 3.275, 3.221, 3.101, 3.339, 3.311, 3.149, 3.051, 3.255, 3.231, 5.415]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[68.063, 68.736, 64.398, 65.819, 68.512, 63.276, 63.8, 67.39, 69.634, 66.043, 66.791, 23.336]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]

[0.615, 0.631, 0.629, 0.632, 0.629, 0.629, 0.636, 0.635, 0.637, 0.63, 0.611, 0.081]
[3.467, 3.183, 3.356, 3.04, 3.385, 3.005, 3.022, 3.292, 3.128, 3.185, 3.327, 5.931]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[62.079, 68.287, 65.221, 70.381, 64.772, 72.177, 71.354, 66.417, 69.708, 68.736, 65.221, 24.383]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
[0.624, 0.625, 0.633, 0.635, 0.638, 0.636, 0.641, 0.638, 0.64, 0.632, 0.614, 0.09]
[3.239, 3.084, 3.114, 3.081, 3.12, 3.212, 3.113, 3.257, 3.152, 3.044, 3.264, 5.898]
[5.371, 5.359, 5.305, 5.289, 5.269, 5.282, 5.246, 5.268, 5.256, 5.311, 5.437, 8.35]
[67.764, 70.531, 70.307, 70.157, 70.082, 67.689, 70.307, 66.941, 68.886, 70.606, 67.988, 24.458]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
