[0.596, 0.614, 0.621, 0.624, 0.628, 0.628, 0.629, 0.625, 0.626, 0.625, 0.611, 0.114]
[3.471, 3.48, 3.416, 3.368, 3.174, 3.242, 3.182, 3.046, 3.256, 3.223, 3.283, 5.858]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[62.528, 62.603, 64.697, 66.193, 69.334, 68.138, 68.96, 71.503, 67.539, 68.212, 67.464, 23.635]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
[0.615, 0.594, 0.615, 0.625, 0.626, 0.599, 0.621, 0.627, 0.628, 0.621, 0.606, 0.106]
[3.304, 3.798, 3.033, 3.305, 3.197, 3.604, 3.373, 3.204, 3.126, 3.325, 3.448, 5.847]
[5.433, 5.579, 5.434, 5.361, 5.351, 5.542, 5.39, 5.346, 5.338, 5.39, 5.495, 8.28]
[67.016, 57.966, 71.952, 66.866, 69.035, 61.631, 65.071, 67.838, 69.783, 66.417, 62.528, 24.308]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
