[0.577, 0.613, 0.609, 0.617, 0.618, 0.619, 0.615, 0.621, 0.621, 0.61, 0.473, 0.09]
[3.847, 3.273, 3.582, 3.242, 3.312, 3.343, 3.487, 3.15, 3.335, 3.347, 4.129, 5.924]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[52.805, 68.287, 61.78, 69.634, 67.539, 66.791, 63.575, 71.279, 67.913, 66.791, 52.73, 25.355]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
[0.603, 0.611, 0.61, 0.612, 0.619, 0.62, 0.619, 0.623, 0.62, 0.604, 0.53, 0.04]
[3.279, 3.507, 3.556, 3.522, 3.355, 3.279, 3.381, 3.257, 3.243, 3.379, 3.904, 6.01]
[5.514, 5.462, 5.467, 5.453, 5.403, 5.397, 5.404, 5.379, 5.396, 5.512, 6.002, 8.58]
[68.287, 63.052, 62.304, 63.126, 67.24, 67.838, 66.193, 69.185, 68.586, 67.091, 56.769, 26.178]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
