[0.588, 0.61, 0.612, 0.608, 0.611, 0.618, 0.619, 0.608, 0.618, 0.615, 0.573, 0.041]
[3.534, 3.368, 3.196, 3.565, 3.533, 3.304, 3.259, 3.563, 3.336, 3.398, 3.56, 6.004]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[61.481, 66.717, 69.783, 63.052, 63.65, 67.764, 68.138, 62.827, 66.567, 65.295, 60.883, 26.178]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
[0.599, 0.611, 0.608, 0.615, 0.614, 0.617, 0.62, 0.612, 0.617, 0.607, 0.57, 0.048]
[3.194, 3.457, 3.509, 3.387, 3.371, 3.324, 3.246, 3.493, 3.331, 3.524, 3.625, 5.989]
[5.546, 5.464, 5.479, 5.43, 5.437, 5.417, 5.399, 5.457, 5.415, 5.485, 5.739, 8.544]
[69.484, 64.697, 63.725, 66.717, 65.595, 67.165, 68.512, 63.65, 66.866, 62.079, 60.583, 26.028]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
