[0.601, 0.628, 0.634, 0.633, 0.635, 0.638, 0.637, 0.629, 0.633, 0.629, 0.609, 0.077]
[3.509, 3.225, 3.247, 3.069, 3.243, 3.128, 3.2, 2.963, 3.199, 3.27, 3.364, 5.927]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[60.583, 67.988, 67.838, 71.129, 67.539, 70.007, 68.287, 72.55, 68.437, 67.165, 64.398, 24.981]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
[0.61, 0.629, 0.63, 0.63, 0.636, 0.627, 0.636, 0.639, 0.622, 0.63, 0.609, 0.12]
[3.55, 3.108, 3.388, 3.369, 3.183, 3.392, 3.252, 3.147, 3.459, 3.16, 3.321, 5.841]
[5.466, 5.334, 5.325, 5.327, 5.281, 5.344, 5.28, 5.258, 5.381, 5.323, 5.478, 8.212]
[60.135, 70.606, 65.295, 65.295, 68.212, 64.398, 67.539, 69.185, 62.977, 69.035, 65.744, 23.336]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
