[0.581, 0.62, 0.618, 0.626, 0.626, 0.617, 0.62, 0.623, 0.627, 0.622, 0.612, 0.11]
[3.839, 3.327, 3.4, 3.213, 3.135, 3.449, 3.418, 3.317, 3.092, 3.237, 3.279, 5.87]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[53.927, 66.193, 64.323, 68.586, 69.933, 63.8, 64.772, 66.717, 70.531, 67.913, 67.913, 23.71]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
[0.588, 0.623, 0.604, 0.622, 0.61, 0.624, 0.619, 0.625, 0.623, 0.625, 0.602, 0.091]
[3.789, 3.313, 3.64, 3.395, 3.609, 3.078, 3.398, 3.298, 3.366, 3.21, 3.443, 5.897]
[5.616, 5.376, 5.506, 5.381, 5.47, 5.37, 5.402, 5.362, 5.377, 5.361, 5.524, 8.348]
[55.423, 67.016, 60.284, 65.445, 61.182, 71.429, 64.697, 67.24, 65.221, 68.661, 64.024, 24.458]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
