[0.588, 0.592, 0.611, 0.615, 0.616, 0.619, 0.61, 0.62, 0.616, 0.619, 0.542, 0.063]
[3.691, 3.04, 3.529, 3.43, 3.398, 3.277, 3.551, 3.312, 3.44, 3.205, 3.855, 5.969]
[5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437, 5.437]
[57.442, 72.326, 63.874, 65.819, 66.492, 68.437, 62.827, 67.091, 64.697, 70.157, 56.171, 25.43]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
[0.607, 0.603, 0.616, 0.603, 0.617, 0.61, 0.614, 0.618, 0.607, 0.617, 0.543, 0.073]
[3.459, 3.07, 3.253, 3.686, 3.387, 3.568, 3.429, 3.19, 3.572, 3.309, 3.825, 5.949]
[5.491, 5.515, 5.425, 5.519, 5.421, 5.467, 5.437, 5.411, 5.486, 5.419, 5.92, 8.43]
[64.921, 70.83, 67.988, 59.985, 66.268, 62.453, 64.921, 68.811, 60.733, 66.343, 56.844, 25.131]
[0, 9, 18, 27, 36, 45, 54, 63, 72, 81, 90, 99]
