[0.579, 0.597, 0.606, 0.603, 0.605, 0.605, 0.609, 0.603, 0.609, 0.61, 0.61, 0.613, 0.613, 0.614, 0.614, 0.616, 0.616, 0.617, 0.618, 0.619, 0.618, 0.618, 0.616, 0.612, 0.592]
[3.805, 3.227, 3.346, 3.465, 3.233, 3.386, 3.208, 3.155, 3.271, 3.287, 3.17, 3.263, 3.284, 3.277, 3.216, 3.226, 3.278, 3.237, 3.306, 3.307, 3.193, 3.322, 3.309, 3.283, 3.449]
[5.682, 5.559, 5.497, 5.516, 5.503, 5.503, 5.477, 5.514, 5.473, 5.465, 5.464, 5.448, 5.444, 5.441, 5.436, 5.424, 5.423, 5.419, 5.414, 5.406, 5.412, 5.409, 5.427, 5.452, 5.59]
[53.403, 69.634, 65.894, 61.855, 69.185, 64.174, 69.035, 71.279, 67.24, 66.717, 69.933, 67.315, 67.315, 67.39, 68.437, 68.212, 67.016, 67.315, 65.37, 65.445, 67.764, 65.969, 66.118, 66.717, 65.445]
[0, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68, 72, 76, 80, 84, 88, 92, 96]
[0.579, 0.601, 0.593, 0.606, 0.608, 0.609, 0.608, 0.608, 0.609, 0.61, 0.61, 0.612, 0.612, 0.614, 0.612, 0.616, 0.616, 0.614, 0.618, 0.617, 0.617, 0.616, 0.612, 0.616, 0.584]
[3.303, 3.448, 3.626, 3.25, 3.266, 3.263, 3.299, 3.365, 3.305, 3.174, 3.171, 3.274, 3.347, 3.275, 3.425, 3.216, 3.187, 3.362, 3.176, 3.204, 3.318, 3.345, 3.218, 3.336, 3.422]
[5.68, 5.532, 5.585, 5.494, 5.481, 5.478, 5.478, 5.48, 5.472, 5.469, 5.466, 5.452, 5.456, 5.441, 5.451, 5.422, 5.427, 5.436, 5.411, 5.417, 5.421, 5.428, 5.451, 5.428, 5.644]
[68.96, 62.229, 58.639, 68.437, 67.539, 67.315, 66.043, 64.248, 65.969, 69.933, 69.708, 67.016, 64.772, 67.24, 63.126, 68.736, 69.26, 64.174, 69.634, 68.212, 65.445, 65.819, 67.764, 66.193, 64.772]
[0, 4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68, 72, 76, 80, 84, 88, 92, 96]
